Route ID,Driver ID,Manifest,Delivery Duration (hours),Date,Fuel Price per Gallon (USD),Actual Distance (miles),Planned Distance (miles),Weather Conditions,Driver Ratings,Customer Satisfaction,Delays (hours),Warehouse Storage Costs (USD),Truck Maintenance Costs (USD),Load Type,Load Weight (tons),Route Type,Truck Type,Driver Experience,Delivery Window,Truck Condition,Labor Costs (USD),Fuel Type,Toll Costs (USD),Parking Costs (USD),Time Idling (hours),Miles per Gallon,Calculated Fuel Cost (USD),Idle Cost (USD),Fuel Cost Per Mile,Total Operational Cost (USD),Weather Severity,Weather Severity Score,Cost per Mile,Cost per Ton-Mile,Delivery Efficiency,Route Length,Severe Weather,Weather Severity Index,Fuel Cost per Mile,Performance Score,Driver Consistency Score,Traffic Conditions_Heavy,Traffic Conditions_Light,Traffic Conditions_Moderate,Traffic Conditions_Severe,On-Time Delivery,Driver Experience Level,Experience on Long Routes
DEN/DEN,RF5432,1891292,3.38,2023-12-08,3.5,897.08,571.82,Heavy Rain,2.99,3,4.12,159.51,1098.48,Perishable,11.1,Interstate,Box Truck,Junior,Morning,3,23.87,Gasoline,20.9,6.98,0.23,6.81,461.09,0.41,0.51,1747.37,,,0.5139898336826146,0.17548125108208934,265.40828402366867,Long,0,2,0.5139898336826146,0.38701547854834084,4.12,False,False,False,True,0,1,1
MCO/JFK,RN1647,4268640,3.76,2023-12-10,3.5,1972.22,2491.58,Light Rain,4.78,1,1.64,149.45,539.61,Oversized,14.46,Interstate,Semi,Intermediate,Morning,3,83.17,Gasoline,37.29,18.91,1.58,7.5,920.35,2.76,0.47,1668.38,,,0.46665686383871985,0.05850208216469781,524.5265957446809,Long,0,1,0.46665686383871985,0.25826618899560955,1.64,False,False,False,True,0,2,2
PHX/SEA,BT4586,9965595,9.02,2023-04-01,4.0,2293.92,255.15,Light Rain,3.02,4,1.01,183.75,1965.36,Oversized,12.76,Urban,Flatbed,Senior,Evening,3,138.47,Diesel,32.77,9.74,0.71,6.33,1450.69,1.42,0.63,3643.74,,,0.6324065355374207,0.1244854053883861,254.3148558758315,Long,0,1,0.6324065355374207,1.2190895514814988,1.01,True,False,False,False,0,3,3
DEN/CMH,OF2607,8271599,3.74,2023-02-04,4.5,1311.74,294.29,Clear,2.86,2,3.03,159.09,1052.12,Perishable,3.78,Interstate,Box Truck,Senior,Overnight,2,164.32,Diesel,4.18,25.72,0.35,7.94,743.16,0.78,0.57,1985.04,,,0.5665451995059997,0.4003406598433052,350.7326203208556,Long,0,0,0.5665451995059997,0.3167976996701101,3.03,True,False,False,False,0,3,3
LAX/SLC,NS6174,3497207,8.49,2023-10-10,4.0,1385.58,2808.74,Light Rain,2.04,5,3.81,179.36,1281.13,Fragile,19.54,Interstate,Flatbed,Junior,Evening,2,136.27,Diesel,39.44,23.85,1.32,6.83,811.0,2.63,0.59,2337.42,,,0.5853144531531922,0.08633374702556673,163.20141342756182,Long,0,1,0.5853144531531922,0.655706530293388,3.81,False,False,True,False,0,1,1
STL/DCA,EZ3763,6396961,5.59,2023-11-24,3.5,1748.98,1484.97,Heavy Rain,2.11,2,3.21,149.97,1492.81,Perishable,3.58,Suburban,Flatbed,Senior,Evening,1,76.84,Diesel,24.0,26.73,1.89,7.44,822.86,3.32,0.47,2519.68,,,0.4704799368774943,0.4024181117281383,312.87656529516994,Long,0,2,0.4704799368774943,0.3230641714375054,3.21,False,False,True,False,0,3,3
CLT/SEA,FT3307,9298310,1.42,2023-03-01,3.5,1903.25,513.55,Snow,4.56,5,1.1,81.79,1198.01,Fragile,17.7,Urban,Flatbed,Intermediate,Afternoon,4,120.37,Diesel,5.73,28.86,1.7,7.13,934.16,2.98,0.49,2251.52,,,0.49082359122553526,0.06683542349875807,1340.3169014084508,Long,0,3,0.49082359122553526,1.5970718433527828,1.1,False,False,False,True,0,2,2
LAS/DTW,DT9836,2139203,7.19,2023-03-20,3.5,1467.37,541.64,Clear,1.36,4,1.44,130.75,1952.51,Perishable,7.82,Urban,Box Truck,Intermediate,Overnight,5,86.98,Gasoline,29.81,0.96,1.22,6.84,750.39,2.13,0.51,2866.56,,,0.5113843134315136,0.2498127772382299,204.0848400556328,Long,0,0,0.5113843134315136,1.0846640710283955,1.44,False,False,False,True,0,2,2
DCA/ATL,XA8631,4311514,1.61,2023-09-03,4.5,2302.65,2007.06,Snow,3.71,2,3.51,132.42,1306.73,Perishable,8.83,Suburban,Semi,Junior,Overnight,1,172.86,Gasoline,14.28,19.95,0.45,7.32,1414.76,1.0,0.61,2889.14,,,0.6144051419017219,0.14209537836397518,1430.2173913043478,Long,0,3,0.6144051419017219,0.2746887807368875,3.51,False,False,False,True,0,1,1
ORD/SLC,AX8857,9264365,7.48,2023-10-19,4.0,1902.57,2966.08,Clear,4.95,3,2.92,186.03,517.11,Standard,11.37,Interstate,Box Truck,Senior,Evening,2,56.65,Diesel,14.14,21.01,1.55,6.17,1232.98,3.11,0.65,1974.36,,,0.6480602553388312,0.09126940821873727,254.3542780748663,Long,0,0,0.6480602553388312,0.4643678044961028,2.92,False,False,False,True,0,3,3
CLE/DTW,AA5702,1196857,5.17,2023-02-23,4.0,1599.52,2653.65,Fog,1.09,2,0.7,101.31,925.22,Oversized,14.8,Suburban,Box Truck,Senior,Afternoon,5,114.94,Gasoline,24.12,17.0,0.78,6.71,954.03,1.56,0.6,2023.22,,,0.5964476843052916,0.08546567348582954,309.38491295938104,Long,0,2,0.5964476843052916,0.7369302482011779,0.7,False,False,False,True,1,3,3
DFW/DCA,ED9834,6044540,1.12,2023-10-30,4.5,1846.17,416.87,Light Rain,1.78,4,4.26,168.75,1636.99,Fragile,6.89,Urban,Flatbed,Intermediate,Afternoon,2,171.15,Gasoline,20.77,8.07,0.18,6.99,1188.8,0.41,0.64,3023.8,,,0.6439276989659674,0.2377180457532632,1648.3660714285713,Long,0,1,0.6439276989659674,0.46258498730971354,4.26,False,False,True,False,0,2,2
JFK/LAS,WA6876,5851080,3.08,2023-02-09,3.5,1982.27,923.07,Clear,1.07,4,2.28,83.51,1490.59,Perishable,15.9,Suburban,Semi,Junior,Afternoon,4,40.27,Gasoline,2.59,10.55,0.04,6.87,1009.95,0.06,0.51,2597.25,,,0.5094916434189086,0.08240504906181982,643.5941558441558,Long,0,0,0.5094916434189086,0.807895956522044,2.28,False,True,False,False,0,1,1
SAN/CLE,PE9288,4194191,1.94,2023-02-18,4.0,766.62,2168.31,Light Rain,3.31,2,3.29,179.39,618.69,Oversized,6.4,Interstate,Flatbed,Junior,Afternoon,3,108.08,Diesel,36.38,2.47,1.56,7.68,399.1,3.12,0.52,1239.15,,,0.52059690589862,0.2525595307975268,395.16494845360825,Long,0,1,0.52059690589862,0.30659043458000323,3.29,False,False,True,False,0,1,1
CLT/LAS,PK5027,9713309,8.15,2023-01-24,4.0,2134.84,460.59,Heavy Rain,4.05,2,4.44,157.36,1599.31,Fragile,9.6,Suburban,Semi,Intermediate,Morning,5,167.1,Diesel,44.8,14.75,0.07,6.41,1331.54,0.15,0.62,3147.91,,,0.6237188735455584,0.15359806433581283,261.9435582822086,Long,0,2,0.6237188735455584,0.22642285238745422,4.44,False,False,False,True,0,2,2
SFO/SAN,FH1540,7997631,3.3,2023-10-23,4.5,1175.84,439.79,Light Rain,1.64,2,4.99,180.07,792.21,Standard,16.38,Interstate,Semi,Junior,Overnight,3,194.93,Gasoline,5.31,14.22,1.04,6.93,764.07,2.35,0.65,1758.23,,,0.6498077969791809,0.09128797186696222,356.3151515151515,Long,0,1,0.6498077969791809,0.2023810391561717,4.99,False,False,True,False,0,1,1
MCO/CLT,AR4236,3814136,5.44,2023-09-21,3.5,1054.87,825.1,Fog,2.88,4,0.69,115.27,1980.99,Perishable,5.11,Interstate,Box Truck,Intermediate,Morning,3,121.19,Diesel,23.37,2.74,1.62,6.78,544.42,2.84,0.52,2669.64,,,0.5161015101386901,0.49525955072194555,193.9099264705882,Long,0,2,0.5161015101386901,1.561151340789132,0.69,True,False,False,False,1,2,2
DTW/DFW,KZ2735,9141716,7.7,2023-02-09,4.5,1671.17,1551.45,Heavy Rain,4.79,2,3.87,155.89,1688.12,Fragile,3.7,Urban,Flatbed,Senior,Afternoon,1,193.15,Diesel,39.38,19.98,0.36,6.05,1242.46,0.82,0.74,3146.66,,,0.7434671517559553,0.5088941571764982,217.03506493506495,Long,0,2,0.7434671517559553,0.23555225440077607,3.87,False,False,False,True,0,3,3
DTW/MSP,ID1828,7590665,1.86,2023-06-18,3.5,1108.36,2096.44,Clear,2.04,3,4.14,150.67,1018.47,Perishable,18.09,Suburban,Flatbed,Intermediate,Evening,5,77.12,Gasoline,23.57,2.85,0.15,6.65,582.98,0.26,0.53,1778.8,,,0.5259843372189542,0.08871717616599796,595.8924731182794,Long,0,0,0.5259843372189542,0.382479409069382,4.14,False,False,True,False,0,2,2
SFO/CLE,KL2846,1060639,5.03,2023-04-26,4.5,1278.63,1224.95,Snow,3.99,3,3.59,152.34,1957.24,Standard,1.9,Interstate,Box Truck,Senior,Evening,4,172.0,Diesel,8.34,17.79,1.75,6.07,948.0,3.93,0.74,3087.65,,,0.7414185495413058,1.2709532447763787,254.20079522862824,Long,0,3,0.7414185495413058,0.3753231935045074,3.59,False,False,False,True,0,3,3
MIA/SEA,RN1620,2170055,9.32,2023-01-27,4.5,2001.46,1029.25,Light Rain,3.19,5,0.76,184.34,1440.77,Standard,10.63,Interstate,Semi,Junior,Morning,5,177.7,Diesel,38.56,8.43,0.89,6.54,1376.43,2.01,0.69,3050.56,,,0.6877129695322415,0.14338357082114628,214.74892703862662,Long,0,1,0.6877129695322415,1.683289245384222,0.76,True,False,False,False,1,1,1
SEA/MSP,DM4044,7586613,7.53,2023-09-22,3.5,123.67,1072.06,Snow,2.64,3,4.37,64.43,1028.97,Fragile,17.3,Interstate,Semi,Senior,Afternoon,2,115.23,Gasoline,45.05,3.4,0.14,7.54,57.38,0.24,0.46,1199.46,,,0.4639767122179995,0.5606286728946278,16.42363877822045,Medium,0,3,0.4639767122179995,0.38160389657476024,4.37,False,True,False,False,0,3,0
MIA/BNA,QD1677,6672485,8.47,2023-03-07,4.5,1869.52,1163.45,Light Rain,3.57,5,2.86,56.28,599.43,Perishable,4.98,Interstate,Semi,Senior,Afternoon,1,144.35,Gasoline,34.36,13.16,0.89,7.64,1100.51,2.0,0.59,1805.74,,,0.5886591210578116,0.19395266890661625,220.7225501770956,Long,0,1,0.5886591210578116,0.8153648384319631,2.86,False,False,False,True,0,3,3
DTW/BOS,GW1942,4155919,3.41,2023-11-11,3.5,2224.48,1949.44,Heavy Rain,3.66,4,4.25,125.36,1229.77,Fragile,4.1,Interstate,Box Truck,Intermediate,Overnight,3,122.4,Diesel,22.6,14.6,0.66,6.83,1140.52,1.15,0.51,2534.0,,,0.5127130835071567,0.2778396661187356,652.3401759530792,Long,0,2,0.5127130835071567,0.5036677280124531,4.25,True,False,False,False,0,2,2
ORD/CLT,UN1011,2031770,7.63,2023-10-06,4.5,2756.78,2090.43,Clear,1.45,2,1.42,86.09,1703.07,Perishable,9.18,Urban,Box Truck,Intermediate,Afternoon,2,127.05,Gasoline,6.31,17.52,1.04,7.18,1726.92,2.34,0.63,3542.25,,,0.626426483070829,0.13996982460402912,361.30799475753605,Long,0,0,0.626426483070829,0.5081362665906275,1.42,False,False,True,False,0,2,2
DCA/DFW,BS9225,2624253,9.02,2023-10-08,4.0,965.1,2387.77,Fog,3.55,1,3.07,58.11,1978.57,Perishable,4.33,Suburban,Flatbed,Senior,Overnight,3,170.36,Gasoline,2.58,22.73,0.22,6.53,590.89,0.44,0.61,2653.33,,,0.6122577971194695,0.6349376137116067,106.99556541019956,Long,0,2,0.6122577971194695,0.15239513565338278,3.07,True,False,False,False,0,3,3
SFO/ATL,ST9819,4519294,9.91,2023-11-17,4.5,2327.52,538.75,Snow,3.94,5,2.54,118.08,1169.46,Fragile,0.97,Urban,Semi,Intermediate,Evening,4,160.09,Gasoline,45.6,28.6,0.9,7.37,1420.73,2.02,0.61,2784.49,,,0.6104050663367018,1.2333334396364717,234.86579212916246,Long,0,3,0.6104050663367018,0.8770646640748734,2.54,False,False,False,True,0,2,2
IAH/CLE,WG2838,4641995,8.09,2023-05-23,4.0,351.44,1844.41,Light Rain,4.89,5,1.66,141.63,1693.45,Perishable,3.0,Suburban,Flatbed,Junior,Evening,3,80.42,Gasoline,20.43,21.32,1.41,7.88,178.5,2.83,0.51,2058.16,,,0.507910311859777,1.9521207982396236,43.441285537700864,Long,0,1,0.507910311859777,1.2465590515141307,1.66,False,False,True,False,0,1,1
CMH/LAX,RD7427,1755596,4.46,2023-04-15,4.0,767.73,1409.62,Snow,1.68,2,0.41,108.51,1044.48,Fragile,10.74,Interstate,Semi,Senior,Afternoon,2,172.08,Diesel,1.66,10.6,0.75,6.35,483.63,1.5,0.63,1650.37,,,0.629948028603806,0.20015596051733056,172.13677130044843,Long,0,3,0.629948028603806,0.8702361617793883,0.41,False,False,False,True,1,3,3
DTW/SFO,CP2791,3044825,4.74,2023-09-25,4.0,509.03,1790.4,Light Rain,1.17,4,2.04,66.16,1300.4,Fragile,15.87,Interstate,Semi,Intermediate,Morning,2,97.04,Diesel,14.85,28.49,0.09,7.83,259.91,0.18,0.51,1669.98,,,0.5105985894740979,0.20672403092029407,107.39029535864978,Long,0,1,0.5105985894740979,0.8710384630653546,2.04,False,False,False,True,0,2,2
MCO/STL,HA9612,6083437,8.5,2023-02-22,4.5,1765.52,215.32,Snow,2.99,3,3.86,183.44,1794.29,Oversized,7.27,Interstate,Semi,Intermediate,Overnight,3,130.61,Diesel,28.51,10.33,1.33,6.16,1289.95,3.0,0.73,3309.52,,,0.7306346005709367,0.2578445506942307,207.70823529411766,Long,0,3,0.7306346005709367,0.35668069413014275,3.86,False,False,True,False,0,2,2
CLE/ATL,OW5791,9246358,8.97,2023-06-01,3.5,760.03,2874.46,Fog,1.54,3,3.22,194.97,1698.32,Oversized,10.88,Urban,Box Truck,Junior,Evening,1,83.26,Gasoline,41.88,3.48,1.71,7.95,334.6,3.0,0.44,2276.26,,,0.44024577977185114,0.2752721254811149,84.73021181716832,Long,0,2,0.44024577977185114,0.49359663740605625,3.22,False,False,True,False,0,1,1
MCO/ORD,DX2132,5118845,9.22,2023-08-21,4.5,1359.7,1010.2,Heavy Rain,3.7,5,2.89,138.81,1695.57,Standard,18.97,Interstate,Box Truck,Senior,Afternoon,5,137.46,Diesel,30.11,1.64,1.39,7.09,863.6,3.12,0.64,2732.85,,,0.6351401044348018,0.10595107474520044,147.47288503253796,Long,0,2,0.6351401044348018,0.7860776212482959,2.89,True,False,False,False,0,3,3
BOS/PHX,SG8092,6876683,5.22,2023-03-13,4.0,439.34,2475.16,Fog,3.36,1,2.79,161.46,563.1,Oversized,3.81,Urban,Box Truck,Senior,Afternoon,3,54.53,Gasoline,42.16,28.8,0.52,6.81,258.1,1.05,0.59,1054.67,,,0.5874721172668094,0.6300730026081834,84.16475095785441,Long,0,2,0.5874721172668094,0.16620905644525233,2.79,True,False,False,False,0,3,3
BOI/DTW,PA3573,5380855,4.04,2023-08-24,4.0,470.73,361.94,Light Rain,1.06,1,2.25,111.92,1136.2,Oversized,18.41,Interstate,Box Truck,Intermediate,Afternoon,1,194.78,Diesel,1.76,22.67,1.21,7.57,248.67,2.43,0.53,1523.65,,,0.5282646102861512,0.17581646766282652,116.51732673267327,Long,0,1,0.5282646102861512,0.20133444537114262,2.25,False,True,False,False,0,2,2
IAH/DCA,XT9860,2265230,1.31,2023-03-19,3.5,789.18,2833.22,Light Rain,3.31,1,1.81,80.98,612.29,Standard,12.14,Urban,Box Truck,Intermediate,Morning,1,97.94,Gasoline,5.12,4.0,0.42,6.16,448.59,0.73,0.57,1151.71,,,0.568425454268988,0.12021215439644922,602.4274809160305,Long,0,1,0.568425454268988,0.22689754565789116,1.81,False,True,False,False,0,2,2
SLC/BOI,HS1230,1848639,5.39,2023-10-07,3.5,899.27,2272.92,Heavy Rain,3.66,2,2.42,193.26,556.57,Standard,18.32,Urban,Flatbed,Junior,Morning,3,89.83,Gasoline,0.04,20.18,0.71,6.61,476.24,1.24,0.53,1247.52,,,0.5295851079208692,0.07572372020527275,166.8404452690167,Long,0,2,0.5295851079208692,0.38232283944783313,2.42,False,True,False,False,0,1,1
DTW/LAS,KC3844,7619031,3.97,2023-12-01,4.0,820.17,572.71,Fog,3.05,3,1.36,129.78,1684.33,Oversized,6.58,Interstate,Box Truck,Senior,Overnight,4,160.41,Gasoline,20.52,1.95,0.94,6.15,533.08,1.89,0.65,2371.55,,,0.6499628125876343,0.4394429607650842,206.59193954659946,Long,0,2,0.6499628125876343,0.7704333885467187,1.36,True,False,False,False,0,3,3
BNA/ORD,YV1565,8551200,3.07,2023-05-19,4.0,1256.63,2759.76,Light Rain,4.97,1,1.5,65.22,1556.72,Fragile,2.05,Interstate,Flatbed,Senior,Afternoon,5,198.85,Diesel,46.55,22.98,1.99,7.78,646.04,3.98,0.51,2341.47,,,0.5141051860929629,0.9089234602109435,409.32573289902285,Long,0,1,0.5141051860929629,0.2641824383629321,1.5,True,False,False,False,0,3,3
ORD/DEN,UH2751,5652399,8.76,2023-12-13,3.5,1026.27,166.1,Snow,2.39,3,4.58,63.04,1671.93,Oversized,3.12,Suburban,Flatbed,Senior,Morning,2,143.92,Diesel,28.41,7.95,0.83,7.08,507.63,1.45,0.49,2280.41,,,0.4946359145254173,0.7121913736401152,117.1541095890411,Long,0,3,0.4946359145254173,0.35970927995053714,4.58,False,True,False,False,0,3,3
PHX/JFK,XD7942,5445918,2.8,2023-02-19,4.0,262.99,423.48,Snow,1.76,2,2.52,189.84,839.87,Oversized,1.87,Suburban,Flatbed,Senior,Afternoon,3,51.12,Diesel,43.68,15.33,0.36,7.24,145.37,0.71,0.55,1234.8,,,0.552758660025096,2.5108211552339372,93.92500000000001,Medium,0,3,0.552758660025096,0.36591766177793217,2.52,True,False,False,False,0,3,0
MSP/MCO,JY5420,8937339,7.21,2023-10-11,4.5,2452.37,1778.78,Heavy Rain,3.72,5,2.86,182.84,1370.99,Standard,12.67,Urban,Box Truck,Intermediate,Afternoon,2,132.79,Diesel,11.14,8.68,1.72,6.43,1716.62,3.86,0.7,3294.14,,,0.6999840970163556,0.10601795993431015,340.1345353675451,Long,0,2,0.6999840970163556,0.7619699442119572,2.86,False,False,True,False,0,2,2
SEA/PHX,ZG5346,1618053,5.48,2023-10-27,4.0,1856.11,1263.62,Fog,3.76,4,0.64,63.94,1859.19,Perishable,5.24,Suburban,Box Truck,Intermediate,Morning,1,132.55,Gasoline,19.81,22.52,0.82,7.68,966.99,1.63,0.52,2934.08,,,0.5209766662536165,0.3016733551878444,338.706204379562,Long,0,2,0.5209766662536165,1.6035909322998156,0.64,False,False,False,True,1,2,2
BOS/SEA,IO1489,3706451,3.17,2023-11-12,3.5,2816.12,2893.26,Light Rain,4.23,4,0.03,112.82,740.8,Oversized,19.76,Interstate,Box Truck,Intermediate,Overnight,4,147.9,Diesel,28.94,18.13,0.82,7.71,1279.11,1.43,0.45,2181.23,,,0.45421004786727837,0.03919795094074076,888.3659305993691,Long,0,1,0.45421004786727837,2.6705187131161288,0.03,True,False,False,False,1,2,2
BOI/BOS,RZ3739,6644435,7.46,2023-03-17,4.5,1912.78,2616.13,Fog,2.51,1,1.29,143.29,1357.89,Standard,16.86,Interstate,Semi,Senior,Morning,5,53.22,Gasoline,10.23,4.46,1.1,6.93,1241.22,2.47,0.65,2759.55,,,0.6489089179100577,0.08556884598552855,256.4048257372654,Long,0,2,0.6489089179100577,0.2648304087413778,1.29,False,False,True,False,0,3,3
ATL/CLT,XA3175,8650062,1.38,2023-03-10,4.0,1962.21,1775.45,Clear,1.13,5,3.67,191.26,897.58,Perishable,16.03,Interstate,Flatbed,Junior,Overnight,4,166.77,Diesel,31.24,1.4,1.7,6.68,1175.55,3.4,0.6,2300.43,,,0.5990948980995917,0.07313579987818679,1421.8913043478262,Long,0,0,0.5990948980995917,0.6695436354875347,3.67,False,False,True,False,0,1,1
DFW/DEN,KR6391,4482115,2.03,2023-12-04,4.0,1918.44,1933.49,Light Rain,1.84,5,2.72,128.42,1820.39,Standard,19.87,Suburban,Box Truck,Junior,Afternoon,1,139.55,Gasoline,34.43,1.71,0.35,7.98,961.85,0.71,0.5,2947.51,,,0.5013709055274077,0.07732308964714421,945.0443349753696,Long,0,1,0.5013709055274077,0.8952391554658642,2.72,False,False,True,False,0,1,1
MSP/MCO,OV9028,5980926,3.25,2023-11-18,4.5,2541.64,780.95,Snow,1.49,5,2.15,187.72,668.0,Perishable,6.97,Urban,Flatbed,Senior,Morning,3,32.42,Gasoline,30.32,13.46,1.43,7.34,1557.83,3.22,0.61,2460.55,,,0.612923151980611,0.13889460587778515,782.0430769230769,Long,0,3,0.612923151980611,0.9841148261480644,2.15,False,False,False,True,0,3,3
SLC/CLT,CE2101,2046413,1.24,2023-10-22,4.0,733.39,2268.77,Heavy Rain,1.25,2,0.18,192.64,1424.95,Oversized,1.62,Interstate,Flatbed,Intermediate,Evening,3,73.82,Diesel,19.01,5.44,0.94,7.32,400.72,1.88,0.55,2044.64,,,0.5463941422708246,1.7209444590056087,591.4435483870967,Long,0,2,0.5463941422708246,1.096043503985579,0.18,False,False,False,True,1,2,2
IAH/ATL,CZ2307,7946017,3.02,2023-02-19,4.0,1674.34,1174.57,Fog,2.38,5,4.42,80.68,570.35,Perishable,10.48,Interstate,Box Truck,Intermediate,Evening,3,172.87,Gasoline,45.23,15.16,1.27,6.71,998.06,2.54,0.6,1712.02,,,0.5960915942998435,0.09756721276616503,554.4172185430464,Long,0,2,0.5960915942998435,0.5779801287011522,4.42,True,False,False,False,0,2,2
BOS/CLT,FG1184,7389530,4.77,2023-10-22,3.5,1557.37,1372.19,Fog,3.92,3,0.27,174.6,607.11,Fragile,8.19,Urban,Box Truck,Junior,Overnight,2,139.36,Gasoline,25.57,7.26,0.04,7.19,758.2,0.08,0.49,1572.82,,,0.48684641414692725,0.12331142505731718,326.49266247379455,Long,0,2,0.48684641414692725,1.5887348564947474,0.27,False,False,False,True,1,1,1
BNA/BNA,UO4584,8650255,5.17,2023-12-11,4.0,1085.9,1250.43,Heavy Rain,3.72,3,3.87,139.1,1324.13,Perishable,2.96,Urban,Flatbed,Junior,Overnight,2,198.89,Gasoline,26.24,3.96,0.54,7.81,556.33,1.09,0.51,2050.84,,,0.5123215765724284,0.6380434214488916,210.0386847195358,Long,0,2,0.5123215765724284,0.4073316394128828,3.87,False,True,False,False,0,1,1
