Route ID,Driver ID,Manifest,Delivery Duration (hours),Date,Fuel Price per Gallon (USD),Actual Distance (miles),Planned Distance (miles),Weather Conditions,Traffic Conditions,Driver Ratings,Customer Satisfaction,Delays (hours),Warehouse Storage Costs (USD),Truck Maintenance Costs (USD),Load Type,Load Weight (tons),Route Type,Truck Type,Driver Experience,Delivery Window,Truck Condition,Labor Costs (USD),Fuel Type,Toll Costs (USD),Parking Costs (USD),Time Idling (hours),Miles per Gallon,Calculated Fuel Cost (USD),Idle Cost (USD),Fuel Cost Per Mile,Total Operational Cost (USD),Weather Severity,Weather Severity Score
DEN/DEN,RF5432,1891292,3.38,2023-12-08,3.5,897.08,571.82,Heavy Rain,Severe,2.99,Neutral,4.12,159.51,1098.48,Perishable,11.1,Interstate,Box Truck,Junior,Morning,3,23.87,Gasoline,20.9,6.98,0.23,6.81,461.09,0.41,0.51,1747.37,1,1
MCO/JFK,RN1647,4268640,3.76,2023-12-10,3.5,1972.22,2491.58,Light Rain,Severe,4.78,Very Dissatisfied,1.64,149.45,539.61,Oversized,14.46,Interstate,Semi,Intermediate,Morning,3,83.17,Gasoline,37.29,18.91,1.58,7.5,920.35,2.76,0.47,1668.38,0,0
PHX/SEA,BT4586,9965595,9.02,2023-04-01,4.0,2293.92,255.15,Light Rain,Heavy,3.02,Satisfied,1.01,183.75,1965.36,Oversized,12.76,Urban,Flatbed,Senior,Evening,3,138.47,Diesel,32.77,9.74,0.71,6.33,1450.69,1.42,0.63,3643.74,2,2
DEN/CMH,OF2607,8271599,3.74,2023-02-04,4.5,1311.74,294.29,Clear,Heavy,2.86,Dissatisfied,3.03,159.09,1052.12,Perishable,3.78,Interstate,Box Truck,Senior,Overnight,2,164.32,Diesel,4.18,25.72,0.35,7.94,743.16,0.78,0.57,1985.04,3,0
LAX/SLC,NS6174,3497207,8.49,2023-10-10,4.0,1385.58,2808.74,Light Rain,Moderate,2.04,Very Satisfied,3.81,179.36,1281.13,Fragile,19.54,Interstate,Flatbed,Junior,Evening,2,136.27,Diesel,39.44,23.85,1.32,6.83,811.0,2.63,0.59,2337.42,3,3
STL/DCA,EZ3763,6396961,5.59,2023-11-24,3.5,1748.98,1484.97,Heavy Rain,Moderate,2.11,Dissatisfied,3.21,149.97,1492.81,Perishable,3.58,Suburban,Flatbed,Senior,Evening,1,76.84,Diesel,24.0,26.73,1.89,7.44,822.86,3.32,0.47,2519.68,0,0
CLT/SEA,FT3307,9298310,1.42,2023-03-01,3.5,1903.25,513.55,Snow,Severe,4.56,Very Satisfied,1.1,81.79,1198.01,Fragile,17.7,Urban,Flatbed,Intermediate,Afternoon,4,120.37,Diesel,5.73,28.86,1.7,7.13,934.16,2.98,0.49,2251.52,3,3
LAS/DTW,DT9836,2139203,7.19,2023-03-20,3.5,1467.37,541.64,Clear,Severe,1.36,Satisfied,1.44,130.75,1952.51,Perishable,7.82,Urban,Box Truck,Intermediate,Overnight,5,86.98,Gasoline,29.81,0.96,1.22,6.84,750.39,2.13,0.51,2866.56,1,0
DCA/ATL,XA8631,4311514,1.61,2023-09-03,4.5,2302.65,2007.06,Snow,Severe,3.71,Dissatisfied,3.51,132.42,1306.73,Perishable,8.83,Suburban,Semi,Junior,Overnight,1,172.86,Gasoline,14.28,19.95,0.45,7.32,1414.76,1.0,0.61,2889.14,2,2
ORD/SLC,AX8857,9264365,7.48,2023-10-19,4.0,1902.57,2966.08,Clear,Severe,4.95,Neutral,2.92,186.03,517.11,Standard,11.37,Interstate,Box Truck,Senior,Evening,2,56.65,Diesel,14.14,21.01,1.55,6.17,1232.98,3.11,0.65,1974.36,2,0
CLE/DTW,AA5702,1196857,5.17,2023-02-23,4.0,1599.52,2653.65,Fog,Severe,1.09,Dissatisfied,0.7,101.31,925.22,Oversized,14.8,Suburban,Box Truck,Senior,Afternoon,5,114.94,Gasoline,24.12,17.0,0.78,6.71,954.03,1.56,0.6,2023.22,1,1
DFW/DCA,ED9834,6044540,1.12,2023-10-30,4.5,1846.17,416.87,Light Rain,Moderate,1.78,Satisfied,4.26,168.75,1636.99,Fragile,6.89,Urban,Flatbed,Intermediate,Afternoon,2,171.15,Gasoline,20.77,8.07,0.18,6.99,1188.8,0.41,0.64,3023.8,3,3
JFK/LAS,WA6876,5851080,3.08,2023-02-09,3.5,1982.27,923.07,Clear,Light,1.07,Satisfied,2.28,83.51,1490.59,Perishable,15.9,Suburban,Semi,Junior,Afternoon,4,40.27,Gasoline,2.59,10.55,0.04,6.87,1009.95,0.06,0.51,2597.25,3,0
SAN/CLE,PE9288,4194191,1.94,2023-02-18,4.0,766.62,2168.31,Light Rain,Moderate,3.31,Dissatisfied,3.29,179.39,618.69,Oversized,6.4,Interstate,Flatbed,Junior,Afternoon,3,108.08,Diesel,36.38,2.47,1.56,7.68,399.1,3.12,0.52,1239.15,0,0
CLT/LAS,PK5027,9713309,8.15,2023-01-24,4.0,2134.84,460.59,Heavy Rain,Severe,4.05,Dissatisfied,4.44,157.36,1599.31,Fragile,9.6,Suburban,Semi,Intermediate,Morning,5,167.1,Diesel,44.8,14.75,0.07,6.41,1331.54,0.15,0.62,3147.91,2,2
SFO/SAN,FH1540,7997631,3.3,2023-10-23,4.5,1175.84,439.79,Light Rain,Moderate,1.64,Dissatisfied,4.99,180.07,792.21,Standard,16.38,Interstate,Semi,Junior,Overnight,3,194.93,Gasoline,5.31,14.22,1.04,6.93,764.07,2.35,0.65,1758.23,3,3
MCO/CLT,AR4236,3814136,5.44,2023-09-21,3.5,1054.87,825.1,Fog,Heavy,2.88,Satisfied,0.69,115.27,1980.99,Perishable,5.11,Interstate,Box Truck,Intermediate,Morning,3,121.19,Diesel,23.37,2.74,1.62,6.78,544.42,2.84,0.52,2669.64,3,3
DTW/DFW,KZ2735,9141716,7.7,2023-02-09,4.5,1671.17,1551.45,Heavy Rain,Severe,4.79,Dissatisfied,3.87,155.89,1688.12,Fragile,3.7,Urban,Flatbed,Senior,Afternoon,1,193.15,Diesel,39.38,19.98,0.36,6.05,1242.46,0.82,0.74,3146.66,1,1
DTW/MSP,ID1828,7590665,1.86,2023-06-18,3.5,1108.36,2096.44,Clear,Moderate,2.04,Neutral,4.14,150.67,1018.47,Perishable,18.09,Suburban,Flatbed,Intermediate,Evening,5,77.12,Gasoline,23.57,2.85,0.15,6.65,582.98,0.26,0.53,1778.8,3,0
SFO/CLE,KL2846,1060639,5.03,2023-04-26,4.5,1278.63,1224.95,Snow,Severe,3.99,Neutral,3.59,152.34,1957.24,Standard,1.9,Interstate,Box Truck,Senior,Evening,4,172.0,Diesel,8.34,17.79,1.75,6.07,948.0,3.93,0.74,3087.65,0,0
MIA/SEA,RN1620,2170055,9.32,2023-01-27,4.5,2001.46,1029.25,Light Rain,Heavy,3.19,Very Satisfied,0.76,184.34,1440.77,Standard,10.63,Interstate,Semi,Junior,Morning,5,177.7,Diesel,38.56,8.43,0.89,6.54,1376.43,2.01,0.69,3050.56,3,3
SEA/MSP,DM4044,7586613,7.53,2023-09-22,3.5,123.67,1072.06,Snow,Light,2.64,Neutral,4.37,64.43,1028.97,Fragile,17.3,Interstate,Semi,Senior,Afternoon,2,115.23,Gasoline,45.05,3.4,0.14,7.54,57.38,0.24,0.46,1199.46,0,0
MIA/BNA,QD1677,6672485,8.47,2023-03-07,4.5,1869.52,1163.45,Light Rain,Severe,3.57,Very Satisfied,2.86,56.28,599.43,Perishable,4.98,Interstate,Semi,Senior,Afternoon,1,144.35,Gasoline,34.36,13.16,0.89,7.64,1100.51,2.0,0.59,1805.74,3,3
DTW/BOS,GW1942,4155919,3.41,2023-11-11,3.5,2224.48,1949.44,Heavy Rain,Heavy,3.66,Satisfied,4.25,125.36,1229.77,Fragile,4.1,Interstate,Box Truck,Intermediate,Overnight,3,122.4,Diesel,22.6,14.6,0.66,6.83,1140.52,1.15,0.51,2534.0,2,2
ORD/CLT,UN1011,2031770,7.63,2023-10-06,4.5,2756.78,2090.43,Clear,Moderate,1.45,Dissatisfied,1.42,86.09,1703.07,Perishable,9.18,Urban,Box Truck,Intermediate,Afternoon,2,127.05,Gasoline,6.31,17.52,1.04,7.18,1726.92,2.34,0.63,3542.25,1,0
DCA/DFW,BS9225,2624253,9.02,2023-10-08,4.0,965.1,2387.77,Fog,Heavy,3.55,Very Dissatisfied,3.07,58.11,1978.57,Perishable,4.33,Suburban,Flatbed,Senior,Overnight,3,170.36,Gasoline,2.58,22.73,0.22,6.53,590.89,0.44,0.61,2653.33,1,1
SFO/ATL,ST9819,4519294,9.91,2023-11-17,4.5,2327.52,538.75,Snow,Severe,3.94,Very Satisfied,2.54,118.08,1169.46,Fragile,0.97,Urban,Semi,Intermediate,Evening,4,160.09,Gasoline,45.6,28.6,0.9,7.37,1420.73,2.02,0.61,2784.49,2,2
IAH/CLE,WG2838,4641995,8.09,2023-05-23,4.0,351.44,1844.41,Light Rain,Moderate,4.89,Very Satisfied,1.66,141.63,1693.45,Perishable,3.0,Suburban,Flatbed,Junior,Evening,3,80.42,Gasoline,20.43,21.32,1.41,7.88,178.5,2.83,0.51,2058.16,2,2
CMH/LAX,RD7427,1755596,4.46,2023-04-15,4.0,767.73,1409.62,Snow,Severe,1.68,Dissatisfied,0.41,108.51,1044.48,Fragile,10.74,Interstate,Semi,Senior,Afternoon,2,172.08,Diesel,1.66,10.6,0.75,6.35,483.63,1.5,0.63,1650.37,3,3
DTW/SFO,CP2791,3044825,4.74,2023-09-25,4.0,509.03,1790.4,Light Rain,Severe,1.17,Satisfied,2.04,66.16,1300.4,Fragile,15.87,Interstate,Semi,Intermediate,Morning,2,97.04,Diesel,14.85,28.49,0.09,7.83,259.91,0.18,0.51,1669.98,2,2
MCO/STL,HA9612,6083437,8.5,2023-02-22,4.5,1765.52,215.32,Snow,Moderate,2.99,Neutral,3.86,183.44,1794.29,Oversized,7.27,Interstate,Semi,Intermediate,Overnight,3,130.61,Diesel,28.51,10.33,1.33,6.16,1289.95,3.0,0.73,3309.52,2,2
CLE/ATL,OW5791,9246358,8.97,2023-06-01,3.5,760.03,2874.46,Fog,Moderate,1.54,Neutral,3.22,194.97,1698.32,Oversized,10.88,Urban,Box Truck,Junior,Evening,1,83.26,Gasoline,41.88,3.48,1.71,7.95,334.6,3.0,0.44,2276.26,3,3
MCO/ORD,DX2132,5118845,9.22,2023-08-21,4.5,1359.7,1010.2,Heavy Rain,Heavy,3.7,Very Satisfied,2.89,138.81,1695.57,Standard,18.97,Interstate,Box Truck,Senior,Afternoon,5,137.46,Diesel,30.11,1.64,1.39,7.09,863.6,3.12,0.64,2732.85,2,2
BOS/PHX,SG8092,6876683,5.22,2023-03-13,4.0,439.34,2475.16,Fog,Heavy,3.36,Very Dissatisfied,2.79,161.46,563.1,Oversized,3.81,Urban,Box Truck,Senior,Afternoon,3,54.53,Gasoline,42.16,28.8,0.52,6.81,258.1,1.05,0.59,1054.67,0,0
BOI/DTW,PA3573,5380855,4.04,2023-08-24,4.0,470.73,361.94,Light Rain,Light,1.06,Very Dissatisfied,2.25,111.92,1136.2,Oversized,18.41,Interstate,Box Truck,Intermediate,Afternoon,1,194.78,Diesel,1.76,22.67,1.21,7.57,248.67,2.43,0.53,1523.65,3,3
IAH/DCA,XT9860,2265230,1.31,2023-03-19,3.5,789.18,2833.22,Light Rain,Light,3.31,Very Dissatisfied,1.81,80.98,612.29,Standard,12.14,Urban,Box Truck,Intermediate,Morning,1,97.94,Gasoline,5.12,4.0,0.42,6.16,448.59,0.73,0.57,1151.71,1,1
SLC/BOI,HS1230,1848639,5.39,2023-10-07,3.5,899.27,2272.92,Heavy Rain,Light,3.66,Dissatisfied,2.42,193.26,556.57,Standard,18.32,Urban,Flatbed,Junior,Morning,3,89.83,Gasoline,0.04,20.18,0.71,6.61,476.24,1.24,0.53,1247.52,3,3
DTW/LAS,KC3844,7619031,3.97,2023-12-01,4.0,820.17,572.71,Fog,Heavy,3.05,Neutral,1.36,129.78,1684.33,Oversized,6.58,Interstate,Box Truck,Senior,Overnight,4,160.41,Gasoline,20.52,1.95,0.94,6.15,533.08,1.89,0.65,2371.55,3,3
BNA/ORD,YV1565,8551200,3.07,2023-05-19,4.0,1256.63,2759.76,Light Rain,Heavy,4.97,Very Dissatisfied,1.5,65.22,1556.72,Fragile,2.05,Interstate,Flatbed,Senior,Afternoon,5,198.85,Diesel,46.55,22.98,1.99,7.78,646.04,3.98,0.51,2341.47,3,3
ORD/DEN,UH2751,5652399,8.76,2023-12-13,3.5,1026.27,166.1,Snow,Light,2.39,Neutral,4.58,63.04,1671.93,Oversized,3.12,Suburban,Flatbed,Senior,Morning,2,143.92,Diesel,28.41,7.95,0.83,7.08,507.63,1.45,0.49,2280.41,2,2
PHX/JFK,XD7942,5445918,2.8,2023-02-19,4.0,262.99,423.48,Snow,Heavy,1.76,Dissatisfied,2.52,189.84,839.87,Oversized,1.87,Suburban,Flatbed,Senior,Afternoon,3,51.12,Diesel,43.68,15.33,0.36,7.24,145.37,0.71,0.55,1234.8,3,3
MSP/MCO,JY5420,8937339,7.21,2023-10-11,4.5,2452.37,1778.78,Heavy Rain,Moderate,3.72,Very Satisfied,2.86,182.84,1370.99,Standard,12.67,Urban,Box Truck,Intermediate,Afternoon,2,132.79,Diesel,11.14,8.68,1.72,6.43,1716.62,3.86,0.7,3294.14,0,0
SEA/PHX,ZG5346,1618053,5.48,2023-10-27,4.0,1856.11,1263.62,Fog,Severe,3.76,Satisfied,0.64,63.94,1859.19,Perishable,5.24,Suburban,Box Truck,Intermediate,Morning,1,132.55,Gasoline,19.81,22.52,0.82,7.68,966.99,1.63,0.52,2934.08,1,1
BOS/SEA,IO1489,3706451,3.17,2023-11-12,3.5,2816.12,2893.26,Light Rain,Heavy,4.23,Satisfied,0.03,112.82,740.8,Oversized,19.76,Interstate,Box Truck,Intermediate,Overnight,4,147.9,Diesel,28.94,18.13,0.82,7.71,1279.11,1.43,0.45,2181.23,3,3
BOI/BOS,RZ3739,6644435,7.46,2023-03-17,4.5,1912.78,2616.13,Fog,Moderate,2.51,Very Dissatisfied,1.29,143.29,1357.89,Standard,16.86,Interstate,Semi,Senior,Morning,5,53.22,Gasoline,10.23,4.46,1.1,6.93,1241.22,2.47,0.65,2759.55,1,1
ATL/CLT,XA3175,8650062,1.38,2023-03-10,4.0,1962.21,1775.45,Clear,Moderate,1.13,Very Satisfied,3.67,191.26,897.58,Perishable,16.03,Interstate,Flatbed,Junior,Overnight,4,166.77,Diesel,31.24,1.4,1.7,6.68,1175.55,3.4,0.6,2300.43,3,0
DFW/DEN,KR6391,4482115,2.03,2023-12-04,4.0,1918.44,1933.49,Light Rain,Moderate,1.84,Very Satisfied,2.72,128.42,1820.39,Standard,19.87,Suburban,Box Truck,Junior,Afternoon,1,139.55,Gasoline,34.43,1.71,0.35,7.98,961.85,0.71,0.5,2947.51,0,0
MSP/MCO,OV9028,5980926,3.25,2023-11-18,4.5,2541.64,780.95,Snow,Severe,1.49,Very Satisfied,2.15,187.72,668.0,Perishable,6.97,Urban,Flatbed,Senior,Morning,3,32.42,Gasoline,30.32,13.46,1.43,7.34,1557.83,3.22,0.61,2460.55,2,2
SLC/CLT,CE2101,2046413,1.24,2023-10-22,4.0,733.39,2268.77,Heavy Rain,Severe,1.25,Dissatisfied,0.18,192.64,1424.95,Oversized,1.62,Interstate,Flatbed,Intermediate,Evening,3,73.82,Diesel,19.01,5.44,0.94,7.32,400.72,1.88,0.55,2044.64,2,2
IAH/ATL,CZ2307,7946017,3.02,2023-02-19,4.0,1674.34,1174.57,Fog,Heavy,2.38,Very Satisfied,4.42,80.68,570.35,Perishable,10.48,Interstate,Box Truck,Intermediate,Evening,3,172.87,Gasoline,45.23,15.16,1.27,6.71,998.06,2.54,0.6,1712.02,2,2
BOS/CLT,FG1184,7389530,4.77,2023-10-22,3.5,1557.37,1372.19,Fog,Severe,3.92,Neutral,0.27,174.6,607.11,Fragile,8.19,Urban,Box Truck,Junior,Overnight,2,139.36,Gasoline,25.57,7.26,0.04,7.19,758.2,0.08,0.49,1572.82,3,3
BNA/BNA,UO4584,8650255,5.17,2023-12-11,4.0,1085.9,1250.43,Heavy Rain,Light,3.72,Neutral,3.87,139.1,1324.13,Perishable,2.96,Urban,Flatbed,Junior,Overnight,2,198.89,Gasoline,26.24,3.96,0.54,7.81,556.33,1.09,0.51,2050.84,3,3
SAN/CLT,UX8818,4356333,6.71,2023-07-13,4.5,411.12,2933.15,Fog,Moderate,3.58,Neutral,2.03,146.98,1482.82,Standard,7.49,Interstate,Box Truck,Senior,Morning,1,109.65,Diesel,32.2,13.12,1.3,6.38,289.89,2.93,0.71,1967.94,2,2
ORD/IAH,JN6660,3779057,7.88,2023-01-01,4.0,203.69,1723.24,Snow,Moderate,3.64,Satisfied,0.01,83.97,1761.84,Perishable,15.26,Interstate,Flatbed,Senior,Overnight,3,185.52,Diesel,0.39,19.62,1.01,6.7,121.54,2.02,0.6,1989.37,0,0
SFO/LAX,EF7649,2226276,6.26,2023-11-26,3.5,320.16,634.04,Heavy Rain,Heavy,2.58,Dissatisfied,0.28,151.87,1966.44,Perishable,9.44,Urban,Box Truck,Junior,Afternoon,4,92.7,Gasoline,37.97,25.61,0.29,7.19,155.85,0.5,0.49,2338.23,0,0
MIA/MCO,HV5461,7972906,2.93,2023-09-02,4.0,2788.3,745.98,Fog,Light,1.11,Very Satisfied,3.09,90.67,1876.55,Standard,6.76,Suburban,Semi,Intermediate,Overnight,1,47.06,Diesel,1.07,13.25,1.19,6.08,1835.36,2.38,0.66,3819.28,0,0
CMH/DCA,WJ8811,9921353,3.05,2023-03-12,4.5,2625.72,1204.91,Snow,Heavy,1.94,Dissatisfied,4.49,111.03,1440.47,Standard,11.53,Interstate,Semi,Intermediate,Afternoon,1,134.69,Gasoline,42.3,8.67,0.69,6.21,1902.77,1.55,0.72,3506.79,2,2
SLC/MIA,PR7716,9795514,7.52,2023-06-08,4.5,1484.57,699.98,Heavy Rain,Heavy,4.96,Very Satisfied,3.04,81.0,1003.65,Perishable,8.76,Urban,Flatbed,Junior,Overnight,2,103.53,Gasoline,23.37,4.86,0.86,7.57,882.39,1.94,0.59,1997.22,3,3
IAH/IAH,AO9013,3667644,6.52,2023-02-04,4.5,1395.2,1381.93,Light Rain,Light,4.53,Neutral,3.4,112.34,671.78,Perishable,16.6,Interstate,Flatbed,Junior,Morning,1,21.29,Diesel,29.0,0.28,1.94,6.02,1043.69,4.37,0.75,1861.47,1,1
JFK/DCA,OO2590,6610057,4.39,2023-06-28,3.5,942.97,2137.08,Clear,Moderate,3.71,Very Satisfied,1.16,199.32,622.04,Perishable,1.64,Suburban,Box Truck,Junior,Evening,1,98.26,Gasoline,12.89,13.75,0.86,6.12,539.16,1.51,0.57,1388.66,3,0
DCA/STL,XK1331,6490665,4.7,2023-04-11,4.0,1139.87,2423.28,Clear,Light,3.86,Satisfied,0.99,102.72,1474.07,Fragile,11.54,Urban,Box Truck,Junior,Overnight,3,195.86,Diesel,42.28,0.43,0.39,6.68,682.48,0.79,0.6,2302.77,1,0
BNA/LAX,LZ3869,5665389,9.17,2023-10-19,3.5,2078.93,2231.87,Snow,Severe,2.39,Dissatisfied,3.07,154.47,1276.57,Standard,8.03,Suburban,Semi,Intermediate,Afternoon,1,148.77,Gasoline,26.21,5.85,0.5,6.59,1104.73,0.87,0.53,2568.71,3,3
DEN/MIA,ZJ5543,7081017,6.58,2023-01-10,4.5,2609.93,1488.96,Clear,Moderate,2.19,Dissatisfied,3.77,77.4,693.65,Perishable,15.23,Urban,Box Truck,Junior,Afternoon,4,157.83,Diesel,35.95,18.15,1.87,7.06,1663.14,4.2,0.64,2492.49,0,0
DTW/SFO,CH8106,4485451,8.11,2023-07-06,4.0,748.22,1683.69,Snow,Light,4.26,Neutral,4.43,167.88,1299.72,Standard,18.05,Urban,Semi,Intermediate,Morning,2,175.76,Diesel,8.24,17.77,1.76,7.13,419.88,3.52,0.56,1917.01,2,2
DFW/JFK,AF5680,4874305,2.92,2023-03-21,4.0,867.48,1506.21,Heavy Rain,Light,3.84,Satisfied,0.15,108.72,1330.83,Standard,5.78,Interstate,Flatbed,Senior,Morning,3,153.35,Gasoline,36.21,13.85,0.48,6.06,572.6,0.97,0.66,2063.18,3,3
ORD/CLT,QQ3872,2609977,3.15,2023-11-14,4.5,2269.51,2284.73,Snow,Moderate,2.02,Very Satisfied,1.21,137.92,519.12,Oversized,15.24,Interstate,Box Truck,Intermediate,Afternoon,5,185.56,Gasoline,5.11,3.09,0.97,7.04,1450.56,2.19,0.64,2117.98,2,2
DFW/DTW,DN4198,5079989,3.25,2023-03-30,4.0,2178.14,677.26,Light Rain,Heavy,3.79,Very Satisfied,2.27,130.75,1354.16,Standard,5.33,Suburban,Flatbed,Junior,Evening,1,158.17,Diesel,24.6,10.19,1.34,7.38,1181.31,2.67,0.54,2703.68,0,0
LAS/JFK,YA3335,9041760,7.18,2023-09-26,4.0,2303.77,1980.13,Heavy Rain,Moderate,4.98,Dissatisfied,2.56,59.73,1242.11,Standard,14.89,Urban,Box Truck,Junior,Morning,3,90.62,Diesel,15.55,2.85,1.1,7.05,1306.95,2.2,0.57,2629.39,2,2
CLE/LAS,KD4268,1970747,9.0,2023-12-25,4.0,2211.1,1922.69,Light Rain,Severe,2.13,Satisfied,1.72,146.02,1408.46,Perishable,2.03,Suburban,Box Truck,Senior,Morning,2,154.39,Gasoline,17.03,9.89,0.83,6.01,1471.07,1.66,0.67,3054.13,2,2
SLC/IAH,HM7151,8863568,7.6,2023-06-12,3.5,1255.95,2126.47,Clear,Moderate,3.34,Satisfied,3.3,53.62,1300.42,Oversized,14.58,Interstate,Flatbed,Junior,Afternoon,4,30.61,Diesel,36.74,21.59,1.09,6.48,678.53,1.9,0.54,2092.82,1,0
CLT/DCA,CL6084,3499672,8.7,2023-01-28,3.5,2472.88,2293.83,Light Rain,Light,1.7,Neutral,1.07,139.76,982.1,Oversized,4.24,Interstate,Flatbed,Senior,Afternoon,1,172.41,Gasoline,11.69,13.29,0.68,6.35,1362.98,1.19,0.55,2511.02,1,1
MCO/CLT,LE5150,4234537,9.82,2023-05-17,4.5,2972.38,2945.1,Light Rain,Severe,2.01,Neutral,1.07,92.2,1221.97,Standard,5.42,Interstate,Box Truck,Senior,Afternoon,5,50.88,Gasoline,16.95,1.65,0.42,6.31,2120.95,0.94,0.71,3454.65,0,0
SLC/PHX,RP7298,5691253,5.22,2023-11-29,4.0,1354.69,916.85,Clear,Severe,2.55,Dissatisfied,0.02,155.39,1717.0,Standard,18.45,Interstate,Box Truck,Intermediate,Morning,2,90.17,Gasoline,39.61,22.09,1.49,7.49,723.85,2.98,0.53,2660.92,1,0
CLT/SEA,IB7593,3809462,3.64,2023-11-09,4.0,150.63,2252.24,Light Rain,Light,3.43,Very Satisfied,2.4,152.94,1609.63,Standard,15.88,Suburban,Box Truck,Intermediate,Overnight,5,183.03,Gasoline,49.38,0.25,0.5,6.13,98.25,1.0,0.65,1911.45,1,1
SAN/BNA,BY3450,3230383,7.44,2023-09-10,4.0,243.15,2659.89,Light Rain,Light,4.17,Satisfied,3.56,78.94,530.42,Fragile,5.83,Interstate,Flatbed,Junior,Overnight,1,136.05,Diesel,33.69,0.33,1.39,6.4,151.92,2.79,0.62,798.09,1,1
LAX/SFO,GP6171,2095974,1.28,2023-02-12,3.5,1306.28,1083.72,Fog,Severe,3.44,Dissatisfied,4.54,196.03,748.15,Standard,16.61,Suburban,Flatbed,Senior,Morning,2,155.88,Diesel,40.65,22.54,0.21,6.58,694.63,0.36,0.53,1702.37,3,3
PHX/LAX,EZ5050,1963306,9.11,2023-08-16,4.5,762.61,2375.83,Fog,Heavy,2.4,Neutral,2.49,148.83,1244.51,Oversized,15.46,Interstate,Flatbed,Senior,Overnight,2,97.47,Diesel,42.57,27.34,0.53,7.14,480.42,1.2,0.63,1944.85,1,1
